University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Chiang Mai Vocational College,Satun,Thailand,Senior Quality Engineer,Configurable value-added encoding,2017-08-03,2017-11-22,9934.38,THB
Universitas Klabat,Sukasirna,Indonesia,Automation Specialist II,Upgradable reciprocal orchestration,2016-03-23,2016-09-05,6169.55,IDR
University of San Jose Recoletos,Taytayan,Philippines,VP Accounting,Advanced scalable forecast,2019-10-12,2019-12-27,4528.77,PHP
Kiev National University of Construction and Architecture,Kirovohrad,Ukraine,Senior Developer,Progressive well-modulated approach,2017-09-21,2018-01-13,9759.55,UAH
McMaster University,Dauphin,Canada,Financial Analyst,Programmable exuding concept,2017-03-19,2017-06-16,5221.57,CAD
University of Liberia,Gbarnga,Liberia,Human Resources Assistant III,Future-proofed maximized hierarchy,2016-06-22,2016-09-23,8041.43,LRD
Oduduwa University,Effium,Nigeria,Administrative Officer,Profound leading edge task-force,2019-10-29,2020-01-21,8399.55,NGN
Pyongyang University of Science and Technology,Changyŏn,North Korea,Business Systems Development Analyst,Business-focused motivating instruction set,2017-12-22,2018-06-21,1842.21,KPW
French Institute of Management,Skarżysko-Kamienna,Poland,Nuclear Power Engineer,Profit-focused mission-critical migration,2019-08-28,2019-11-12,7579.13,PLN
Taganrog State Pedagogical Institute,Priiskovyy,Russia,Technical Writer,Synchronised multi-state collaboration,2017-03-02,2017-04-18,3696.53,RUB
University of the Philippines Open University,Patique,Philippines,Research Assistant III,Triple-buffered encompassing policy,2017-05-24,2017-11-23,5932.47,PHP
Université d'Antananarivo,Sambava,Madagascar,Accounting Assistant I,Customizable cohesive task-force,2019-06-02,2019-09-25,908.97,MGA
Dalian University,Dongqu,China,Programmer Analyst IV,Decentralized dedicated interface,2016-09-12,2016-11-24,3021.83,CNY
Universidade Federal do Rio de Janeiro,Jaguariúna,Brazil,Automation Specialist III,Reactive systematic orchestration,2017-03-07,2017-03-11,9406.82,BRL
"Central University of Technology, Free State",Belfast,South Africa,Information Systems Manager,Diverse contextually-based website,2018-08-21,2018-11-17,7531.42,ZAR
Yantai Education Institute & Yantai Television University,Kandun,China,Research Assistant IV,Customer-focused exuding encoding,2017-04-10,2017-04-20,7622.02,CNY
Universitas 17 Agustus 1945 Cirebon,Werang,Indonesia,Senior Editor,Upgradable 24/7 firmware,2019-07-13,2019-08-23,1778.12,IDR
Pontificia Universidad Javeriana,Medellín,Colombia,Quality Control Specialist,Business-focused user-facing encoding,2019-06-30,2019-09-14,8426.46,COP
"Technological Education Institute of Halkida, Euboea",Stratónion,Greece,Safety Technician I,Automated multi-state portal,2019-05-18,2019-06-22,3413.56,EUR
"New Era College of Arts, Science & Technology",Mosopa,Botswana,Information Systems Manager,Advanced well-modulated database,2018-12-28,2019-02-15,8045.05,BWP
Tajik National University,Khovaling,Tajikistan,Physical Therapy Assistant,User-friendly disintermediate project,2016-09-03,2016-12-08,5349.92,TJS
Universidade de Evora,Tortosendo,Portugal,VP Quality Control,Horizontal responsive system engine,2019-02-20,2019-04-26,2272.74,EUR
Free University Stockholm,Sundsvall,Sweden,Account Representative II,Multi-tiered maximized interface,2017-03-14,2017-06-11,386.23,SEK
Universitas Pesantren Darul Ulum Jombang,Jelat,Indonesia,Budget/Accounting Analyst II,Self-enabling regional infrastructure,2019-02-27,2019-03-21,5131.53,IDR
Suzhou University,Chating,China,Chemical Engineer,Function-based user-facing conglomeration,2019-07-20,2019-09-15,969.71,CNY
Northern Caribbean University,Wakefield,Jamaica,Project Manager,Object-based even-keeled open system,2016-03-19,2016-10-21,5482.01,JMD
Universitas Slamet Riyadi Surakarta,Bulakbanjar,Indonesia,Administrative Officer,Mandatory needs-based budgetary management,2019-06-25,2019-08-18,7005.3,IDR
Universidad Nacional de San Martín,Mosoc Llacta,Peru,Business Systems Development Analyst,Versatile real-time service-desk,2019-04-22,2019-07-13,9876.95,PEN
Yan'an University,Yangmaogong,China,Electrical Engineer,Synergized 5th generation solution,2016-07-28,2016-11-17,6441.99,CNY
Brexgata University Academy,Ath,Belgium,Software Engineer II,Object-based bottom-line capacity,2019-08-05,2019-09-28,3141.41,EUR
Foreign Trade University,Bồng Sơn,Vietnam,Pharmacist,User-centric homogeneous archive,2018-04-23,2018-08-24,8005.25,VND
Technical University of Koszalin,Gręboszów,Poland,Web Developer I,Profound local emulation,2016-08-06,2017-01-15,4039.88,PLN
Universitas Siliwangi,Pasirmanggu,Indonesia,Electrical Engineer,Grass-roots multi-state leverage,2018-04-26,2018-11-10,7713.21,IDR
Universidade Catolica Portuguesa,Pereira,Portugal,Recruiting Manager,Optimized client-server success,2018-04-04,2018-06-13,9899.61,EUR
Syrian Virtual University,Qarqania,Syria,Speech Pathologist,Monitored multimedia challenge,2017-05-20,2017-08-09,319.06,SYP
Anhui Medical University,Donglu,China,Senior Developer,Secured 3rd generation capability,2019-04-04,2019-04-08,1073.7,CNY
Bulacan State University,General Luna,Philippines,Speech Pathologist,Self-enabling bottom-line monitoring,2017-02-07,2017-06-23,3227.74,PHP
Sichuan Fine Art Institute,Hesheng,China,Assistant Professor,Front-line systematic info-mediaries,2016-03-17,2016-04-03,4988.29,CNY
European University,Belgrade,Serbia,Systems Administrator IV,Re-contextualized asynchronous process improvement,2019-10-08,2020-02-29,8712.05,RSD
Université de Nantes,Pontarlier,France,Actuary,Future-proofed empowering matrices,2019-05-30,2019-11-15,2680.17,EUR
Araullo University,Da-an Sur,Philippines,VP Accounting,Total coherent groupware,2019-03-19,2019-08-30,8111.98,PHP
Voronezh State Agricultural University,Krasnyy Yar,Russia,Geologist IV,Persevering empowering conglomeration,2017-08-04,2017-12-03,9971.18,RUB
Kunmimg University of Science and Technology,Bayan Tuohai,China,Nurse Practicioner,Exclusive stable support,2018-08-16,2019-01-17,1028.19,CNY
Institute of Management and Business Technology,Skoura,Morocco,Professor,Persevering uniform ability,2019-03-03,2019-08-14,6527.89,MAD
Maritime University in Szczecin,Zamarski,Poland,Assistant Manager,Fully-configurable 5th generation capability,2016-04-28,2016-09-18,5405.59,PLN
Ural Academy of Public Administration,Peterhof,Russia,Senior Developer,Ergonomic disintermediate forecast,2017-11-12,2018-06-10,6840.0,RUB
Universidad Nacional Autónoma de Honduras,Araulí,Honduras,Sales Associate,Open-architected contextually-based workforce,2019-06-22,2019-11-25,2893.08,HNL
Universitas Islam Sumatera Utara,Montongtebolak,Indonesia,VP Marketing,Future-proofed didactic website,2019-06-04,2019-06-12,4070.81,IDR
"University of Northern Virginia, Prague Campus",Chropyně,Czech Republic,Social Worker,Triple-buffered dynamic frame,2016-09-19,2017-02-04,6731.78,CZK
Universitas Muhammadiyah Magelang,Mambi,Indonesia,Web Designer IV,Re-engineered user-facing focus group,2017-02-28,2017-05-24,3421.14,IDR
Heilongjiang August 1st Reclamation University,Leshan,China,Payment Adjustment Coordinator,Virtual motivating project,2019-11-01,2019-12-21,5260.28,CNY
University of Kragujevac,Joševa,Serbia,Help Desk Operator,Object-based uniform approach,2019-01-14,2019-03-08,4773.26,RSD
Université de Jendouba,Zarzis,Tunisia,Systems Administrator III,De-engineered 24 hour leverage,2019-02-11,2019-05-12,2882.39,TND
Altai State Technical University,Sovetskaya,Russia,Statistician I,Persistent dynamic knowledge base,2016-10-14,2017-03-25,9274.1,RUB
Universitas 17 Agustus 1945 Cirebon,Riangderi,Indonesia,Biostatistician I,Programmable upward-trending definition,2019-01-19,2019-04-02,103.19,IDR
Astrakhan State University,Sernovodsk,Russia,Financial Advisor,Re-contextualized bi-directional help-desk,2017-05-05,2017-07-29,4501.76,RUB
Tianjin University of Technology,Maxiao,China,Desktop Support Technician,Proactive global workforce,2019-06-16,2019-06-27,8011.18,CNY
Universidad Autónoma de Las Américas,Puerto Asís,Colombia,Pharmacist,Total local strategy,2017-11-12,2018-01-06,7435.64,COP
Hanoi University of Science & Technology,Ngoc Hon Doc,Vietnam,Operator,Pre-emptive optimal methodology,2016-06-21,2016-12-30,2200.48,VND
Instituto Superior D. Afonso III - INUAF,Seara,Portugal,Occupational Therapist,Profound 5th generation local area network,2017-09-14,2017-09-17,9219.69,EUR
Huaihua Radio and Television University,Lantang,China,Engineer III,Diverse system-worthy superstructure,2019-12-06,2020-03-16,3827.91,CNY
Chiang Mai Vocational College,Na Wa,Thailand,Product Engineer,Multi-lateral next generation software,2017-02-19,2017-05-15,4117.0,THB
Sogang University,Yeoju,South Korea,Professor,Realigned impactful project,2016-04-01,2016-07-22,3696.75,KRW
Kunmimg University of Science and Technology,Youxi Chengguanzhen,China,Food Chemist,Polarised foreground synergy,2016-05-31,2016-07-07,3317.03,CNY
Universitas Amir Hamzah,Kediren,Indonesia,Occupational Therapist,Optional tangible moratorium,2017-05-02,2017-05-22,4367.47,IDR
Hebron University,Budrus,Palestinian Territory,Staff Accountant II,Business-focused multi-tasking moderator,2016-08-21,2017-03-06,4160.0,ILS
Wenzhou University,Liuji,China,Accounting Assistant IV,Virtual zero defect moderator,2017-09-28,2017-11-08,6933.74,CNY
Ulaanbaatar University,Delgerhaan,Mongolia,Administrative Assistant I,Profound even-keeled complexity,2017-10-04,2018-05-02,4805.12,MNT
Universidad de Oriente,Jobabo,Cuba,GIS Technical Architect,Multi-layered systematic hardware,2019-03-21,2019-05-28,3517.42,CUP
Leyte State University ,Bolong,Philippines,Media Manager I,Decentralized attitude-oriented knowledge base,2016-08-06,2017-02-17,4999.55,PHP
University of Regina Carmeli,Rominimbang,Philippines,Structural Engineer,Centralized full-range concept,2017-05-13,2017-10-22,2100.73,PHP
Guangxi Normal University,Shaping,China,Safety Technician I,Virtual bifurcated model,2018-02-06,2018-07-06,6034.24,CNY
Southern Medial University,Xinxiang,China,Research Nurse,Stand-alone explicit hardware,2017-12-02,2018-02-17,3599.69,CNY
Universidad Kino,Magisterial,Mexico,Software Test Engineer I,Vision-oriented eco-centric ability,2018-10-16,2018-11-24,5452.27,MXN
Chengdu University of Technology,Gaoqiao,China,Environmental Tech,Advanced executive middleware,2017-05-24,2017-08-20,3084.55,CNY
Chung-Ju National University,Samsan,South Korea,Social Worker,Future-proofed user-facing extranet,2018-06-18,2018-09-02,4105.27,KRW
Institut Sains & Teknologi Akprind,Bancar,Indonesia,Compensation Analyst,Expanded modular knowledge base,2016-04-06,2016-08-30,4626.33,IDR
Mahasarakham University,Wang Nam Yen,Thailand,Budget/Accounting Analyst II,Pre-emptive global moratorium,2018-03-22,2018-05-04,1611.84,THB
Eindhoven University of Technology,Leiden,Netherlands,Dental Hygienist,Compatible interactive Graphic Interface,2018-10-04,2019-04-17,8213.71,EUR
Universidad Hispanoamericana,Vicente Guerrero,Mexico,Pharmacist,Operative mission-critical success,2016-04-05,2016-04-17,8944.8,MXN
Universitas Riau,Lanpelan,Indonesia,Executive Secretary,De-engineered executive budgetary management,2018-07-05,2018-11-28,6158.61,IDR
Shandong Medical University,Rendian,China,VP Accounting,Polarised zero defect product,2017-11-28,2018-06-26,3195.4,CNY
Finnmark University College,Oslo,Norway,Recruiting Manager,Stand-alone optimal matrix,2018-06-13,2018-12-25,6871.41,NOK
Universitas Madura,Runting,Indonesia,Quality Control Specialist,Virtual high-level conglomeration,2018-05-25,2018-09-21,7160.73,IDR
Singidunum University,Bojnik,Serbia,Systems Administrator III,Upgradable next generation access,2019-02-12,2019-07-18,6977.46,RSD
Hellenic Open University,Agía Varvára,Greece,Automation Specialist IV,De-engineered optimal algorithm,2016-10-23,2016-11-08,1823.39,EUR
Instituto Superior de Ciências Empresariais e de Turismo,Sines,Portugal,Cost Accountant,Synergized contextually-based functionalities,2016-12-14,2017-03-04,1549.92,EUR
University of the Immaculate Conception,Vitali,Philippines,Structural Engineer,Automated contextually-based success,2017-02-05,2017-04-23,405.43,PHP
University of the Philippines Mindanao,San Teodoro,Philippines,Structural Engineer,Pre-emptive maximized installation,2018-05-09,2018-12-14,7748.92,PHP
Palestine Technical University - Kadoorie,Az Zubaydāt,Palestinian Territory,Quality Engineer,Optional dedicated alliance,2016-12-16,2017-05-31,9969.29,ILS
Prasetiya Mulya Business School,Wedangtemu,Indonesia,Assistant Professor,Progressive fresh-thinking algorithm,2019-08-31,2019-11-18,2473.12,IDR
Universidade Mackenzie,Carandaí,Brazil,VP Product Management,Ergonomic mission-critical firmware,2018-11-03,2019-05-01,6748.87,BRL
University of Mindanao,Del Pilar,Philippines,Civil Engineer,Assimilated regional Graphic Interface,2016-11-03,2017-06-11,8552.51,PHP
University of Central Greece,Evxinoúpolis,Greece,Senior Cost Accountant,Organized grid-enabled database,2018-03-15,2018-05-04,175.58,EUR
University of Jyväskylä,Loimaan Kunta,Finland,Help Desk Operator,Intuitive demand-driven hub,2018-11-12,2018-12-28,4181.75,EUR
Shandong Economic University,Kangmei,China,Clinical Specialist,Implemented national throughput,2017-01-14,2017-06-21,7242.92,CNY
University of Technology and Life Sciences,Bystrzyca,Poland,Geological Engineer,Exclusive mission-critical instruction set,2016-04-01,2016-10-06,7768.6,PLN
Universidade Bandeirante de São Paulo,Santa Quitéria,Brazil,Administrative Officer,Optimized system-worthy parallelism,2017-09-25,2018-03-06,7164.93,BRL
Universitas Wijaya Kusuma Purwokerto,Sondo,Indonesia,VP Sales,Quality-focused human-resource project,2016-03-11,2016-06-04,2102.11,IDR
Université Lumiére (Lyon II),Libourne,France,Senior Cost Accountant,Advanced contextually-based complexity,2019-07-01,2019-10-28,2251.95,EUR
